i  j  rcb      Mcb      Etotcb 
 9  33  19.454  10.003  -2790547970450082982342509398757212160.000 
 9  34  19.728  10.003  -2703678784119963598613671570250399744.000 
 9  35  20.008  10.003  -2609557053155615629865687458357706752.000 
 9  36  20.296  10.004  -2507556864718254506183982219991711744.000 
 9  37  20.590  10.004  -2397097248625096701102578181771100160.000 
 9  38  20.892  10.004  -2277423790701024948233170698056499200.000 
 9  39  21.202  10.004  -2147804814559349729054850840860295168.000 
 9  40  21.519  10.004  -2007429717241837043027765573745377280.000 
 9  41  21.845  10.004  -1855320392460303430342210366046470144.000 
 9  42  22.178  10.004  -1690613209524092440744974163908755456.000 
 9  43  22.522  10.004  -1512050776402574780685957122043674624.000 
 9  44  22.873  10.005  -1318669413075890566433627999546900480.000 
 9  45  23.235  10.005  -1108926650264816177021456716245499904.000 
 9  46  23.607  10.005  -881662368996127089989693651814449152.000 
 9  47  23.989  10.005  -635091911216133499041080725976645632.000 
 9  48  24.381  10.005  -367662780670461015978283399368409088.000 
 9  49  24.785  10.006  -77531178628098624582200390888456192.000 
 10  0  14.664  10.002  -5057254070292974772762696846210498560.000 
 10  1  14.858  10.002  -5061747468876677476379720709589434368.000 
 10  2  15.057  10.002  -5065555501088139513071242828268437504.000 
 10  3  15.262  10.002  -5068638133836716748103888723901415424.000 
 10  4  15.470  10.002  -5070866498960373887255863133600743424.000 
 10  5  15.685  10.002  -5072140621461877940575589479493926912.000 
 10  6  15.905  10.002  -5072429488048948893234721813851799552.000 
 10  7  16.130  10.002  -5071554721038077772477090067283705856.000 
 10  8  16.362  10.002  -5069431444385239320341594411364253696.000 
 10  9  16.599  10.002  -5065947954094448840336911935194791936.000 
 10  10  16.842  10.003  -5060895590481142801817444735086755840.000 
 10  11  17.093  10.003  -5054201619046896194176859743061016576.000 
 10  12  17.350  10.003  -5045611052769742377534434749523689472.000 
 10  13  17.614  10.003  -5035002665397807855258586440229978112.000 
 10  14  17.885  10.003  -5022103172182256873271251938618376192.000 
 10  15  18.165  10.003  -5006734130293662370421795285408677888.000 
 10  16  18.452  10.003  -4988581161031045607343959871684870144.000 
 10  17  18.748  10.003  -4967418279687170004712189093939773440.000 
 10  18  19.053  10.003  -4942862706140409834448066229590556672.000 
 10  19  19.366  10.003  -4914627920551074447649811467966873600.000 
 10  20  19.690  10.003  -4882269873956495715425585424758734848.000 
 10  21  20.022  10.004  -4845376932670356921910972361186738176.000 
 10  22  20.366  10.004  -4803488313743745428481238103276650496.000 
 10  23  20.721  10.004  -4756022180154019377206552121906823168.000 
 10  24  21.087  10.004  -4702405106137108486138641612290392064.000 
 10  25  21.465  10.004  -4641982260075210908311617144688214016.000 
 10  26  21.856  10.004  -4573977310778268957911352983351721984.000 
 10  27  22.260  10.004  -4497559755633341413769586921764290560.000 
 10  28  22.678  10.005  -4411801212090737547028721719509516288.000 
 10  29  23.111  10.005  -4315651754464698874976378212396826624.000 
 10  30  23.559  10.005  -4207923340287725157155337063553302528.000 
 10  31  24.023  10.005  -4087268388028847552090589610211540992.000 
 10  32  24.505  10.005  -3952192205747562475884675899502624768.000 
 10  33  25.005  10.006  -3800997251000765511276792877760380928.000 
 10  34  25.524  10.006  -3631761026767932723020508007449493504.000 
 10  35  26.063  10.006  -3442304192859731672963439078078939136.000 
 10  36  26.623  10.006  -3230153441448913184479508286832377856.000 
 10  37  27.206  10.007  -2992499491721764589864734650708000768.000 
 10  38  27.814  10.007  -2726040411689630532156121071176646656.000 
 10  39  28.447  10.007  -2427137702910980225641952891402977280.000 
 10  40  29.108  10.008  -2091604931083130768499592412033712128.000 
 10  41  29.797  10.008  -1714666136134225036457874814490640384.000 
 10  42  30.517  10.009  -1290614413598450400082784323186458624.000 
 10  43  31.271  10.009  -812921810911661866972371308712558592.000 
 10  44  32.059  10.010  -274588960228608361688021530646151168.000 
 10  45  32.886  10.011  333832579585854364433907290355007488.000 
 10  46  33.752  10.011  1021390667615544365482806634681991168.000 
 10  47  34.663  10.012  1801091984741218924022645003437211648.000 
 10  48  35.620  10.013  2685506784560198121922713252586848256.000 
 10  49  36.627  10.014  3691241828694920826237597147398668288.000 
 11  0  16.327  10.003  -6877793375808766282251790959742287872.000 
 11  1  16.588  10.003  -6891964677632291729062111954165825536.000 
 11  2  16.856  10.003  -6905476845332643119493035305140748288.000 
 11  3  17.133  10.003  -6918364079782995346358211143400423424.000 
 11  4  17.418  10.003  -6930379246506592154722062078819958784.000 
 11  5  17.713  10.003  -6941477197726012415646030275400433664.000 
 11  6  18.017  10.003  -6951533111481186307037078457663094784.000 
 11  7  18.331  10.003  -6960297718831614622051589183424692224.000 
 11  8  18.655  10.003  -6967652001080229212872898952759869440.000 
 11  9  18.990  10.004  -6973414562940719131413193029859672064.000 
 11  10  19.337  10.004  -6977282264625808887609024397801684992.000 
 11  11  19.697  10.004  -6979013130136066117678564917523775488.000 
 11  12  20.068  10.004  -6978321853463785496098624159589859328.000 
 11  13  20.453  10.004  -6974872908835601000919093895816544256.000 
 11  14  20.853  10.004  -6968277826330165863125470051586539520.000 
 11  15  21.267  10.004  -6958092775156356046689755954631671808.000 
 11  16  21.698  10.004  -6943808064109786339717821235367772160.000 
 11  17  22.145  10.005  -6924853766517593723749243652994498560.000 
 11  18  22.610  10.005  -6900576482233356456205434160853024768.000 
 11  19  23.094  10.005  -6870225053356350068229159607848665088.000 
 11  20  23.598  10.005  -6832943805058222928297616960147947520.000 
 11  21  24.123  10.005  -6787749204894733658671405578300948480.000 
 11  22  24.671  10.006  -6733502160744819430743241467222818816.000 
 11  23  25.243  10.006  -6668880009417012148878426164923727872.000 
 11  24  25.840  10.006  -6592343086470631605615462209573355520.000 
 11  25  26.465  10.006  -6502130495479293334186132812186255360.000 
 11  26  27.120  10.007  -6396207216873463997614518663322271744.000 
 11  27  27.806  10.007  -6272135289075306617684327883698339840.000 
 11  28  28.526  10.007  -6127124079221719186727495165055860736.000 
 11  29  29.282  10.008  -5957871569229520466125875847800815616.000 
 11  30  30.078  10.008  -5760485127153542327281898908362473472.000 
 11  31  30.916  10.009  -5530364686284268450193394351768338432.000 
 11  32  31.799  10.009  -5262110203779754025275157262639300608.000 
 11  33  32.732  10.010  -4949232027121708427919213447058817024.000 
 11  34  33.720  10.011  -4583898634049134600081246557464166400.000 
 11  35  34.765  10.011  -4156904981535120444046694192223617024.000 
 11  36  35.874  10.012  -3657072388338293589007432036638523392.000 
 11  37  37.053  10.013  -3070806521054257008119291757396492288.000 
 11  38  38.309  10.014  -2381435285673321275641013456852746240.000 
 11  39  39.649  10.015  -1569010982526052761843398462765268992.000 
 11  40  41.080  10.017  -608904640911370999310093185995243520.000 
 11  41  42.614  10.018  530323853204097932585116559501950976.000 
 11  42  44.261  10.020  1886201777807278432054115122649497600.000 
 11  43  46.033  10.022  3506611590590904704834135867990736896.000 
 11  44  47.945  10.024  5452248465680052663279485741996965888.000 
 11  45  50.014  10.027  7800039239595027673256214027443372032.000 
 11  46  52.258  10.030  10647783865957847980334471545027035136.000 
 11  47  54.698  10.034  14119699124701221008166737900061327360.000 
 11  48  57.363  10.038  18385220792410786966287822552823758848.000 
 11  49  60.278  10.044  23653922437394444709687061679083356160.000 
 12  0  18.019  10.004  -9289368792632651119653345918969708544.000 
 12  1  18.356  10.004  -9317722012868052147661361167835594752.000 
 12  2  18.706  10.004  -9345798907030293083838967403629248512.000 
 12  3  19.069  10.004  -9373486542895714768329149364326891520.000 
 12  4  19.445  10.004  -9400645995590101332693696368848404480.000 
 12  5  19.836  10.004  -9427112976756090661932118552638128128.000 
 12  6  20.242  10.004  -9452697230587848537550826856630976512.000 
 12  7  20.664  10.005  -9477180271668806577724544799798722560.000 
 12  8  21.104  10.005  -9500311332701316524868811737607962624.000 
 12  9  21.562  10.005  -9521800345334976614127437439460966400.000 
 12  10  22.040  10.005  -9541308314622420537835482515672924160.000 
 12  11  22.539  10.005  -9558433242868035905782461936705732608.000 
 12  12  23.059  10.006  -9572691488180713363395532568014094336.000 
 12  13  23.603  10.006  -9583493921833555603379049007048294400.000 
 12  14  24.173  10.006  -9590265320720000608412849863215022080.000 
 12  15  24.770  10.006  -9592224675779481825197229200197550080.000 
 12  16  25.395  10.006  -9588400398068143301689577277524803584.000 
 12  17  26.053  10.007  -9577833088699554207545960769056145408.000 
 12  18  26.743  10.007  -9559146465867842815476752466766200832.000 
 12  19  27.470  10.007  -9530932122114858809274894582670163968.000 
 12  20  28.237  10.008  -9491323451513346184009811662515208192.000 
 12  21  29.045  10.008  -9438179931325480829585833632190169088.000 
 12  22  29.900  10.009  -9368938857518282192419510227516260352.000 
 12  23  30.804  10.009  -9280477446165870852157182222857666560.000 
 12  24  31.764  10.010  -9169011254663733085010384569843580928.000 
 12  25  32.783  10.010  -9029946362791516748608070127401828352.000 
 12  26  33.868  10.011  -8857676357549390459445405962421141504.000 
 12  27  35.024  10.012  -8645315798515088057235733258803609600.000 
 12  28  36.259  10.013  -8384369669111721046514062464894631936.000 
 12  29  37.582  10.013  -8064206631329283486933771450564214784.000 
 12  30  39.001  10.015  -7671760631449709913316194578480496640.000 
 12  31  40.529  10.016  -7190274176975043733217431590367395840.000 
 12  32  42.176  10.017  -6598814074307547972457760702983045120.000 
 12  33  43.959  10.019  -5870578195332061828759012695921917952.000 
 12  34  45.892  10.021  -4971141102169445047763691885742260224.000 
 12  35  47.998  10.023  -3855441666576910469258704386867068928.000 
 12  36  50.298  10.025  -2465113373477493353375801002025811968.000 
 12  37  52.821  10.028  -722256114684542518912846509964787712.000 
 12  38  55.598  10.032  1476450499807613902982370719298486272.000 
 12  39  58.667  10.036  4270960083770679350622526811404238848.000 
 12  40  62.076  10.042  7853608523215011009054120248812240896.000 
 12  41  65.878  10.049  12488036402922749719721575694311882752.000 
 12  42  70.142  10.057  18547734274243668688262593044581187584.000 
 12  43  74.943  10.067  26557652632889308295817117856264355840.000 
 12  44  80.374  10.081  37268592601560628862791988547984293888.000 
 12  45  86.539  10.098  51763489632847180187676177237836562432.000 
 12  46  93.553  10.121  71602977173525235526016883879342768128.000 
 12  47  101.528  10.152  99023883373417200597130943668756152320.000 
 12  48  110.554  10.193  137152295417795762283678681062686326784.000 
 12  49  120.653  10.247  190118911825136048999009473637447106560.000 
 13  0  19.710  10.005  -12479423985201090707025362257040113664.000 
 13  1  20.133  10.005  -12527860618414521716280420812734857216.000 
 13  2  20.575  10.005  -12576661033584114922051786798197112832.000 
 13  3  21.035  10.006  -12625706522739881746642515217921081344.000 
 13  4  21.516  10.006  -12674798264093392466135635282660163584.000 
 13  5  22.020  10.006  -12723848651125006326070210114021752832.000 
 13  6  22.547  10.006  -12772675949482215566328926454111272960.000 
 13  7  23.098  10.006  -12820954343300637824326762298330841088.000 
 13  8  23.676  10.007  -12868357458773929292010660000285327360.000 
 13  9  24.284  10.007  -12914632437481453235851178941712695296.000 
 13  10  24.922  10.007  -12959154783569790166024473271301308416.000 
 13  11  25.594  10.007  -13001532996482104669048508367218147328.000 
 13  12  26.303  10.008  -13040992159021426202177606927106703360.000 
 13  13  27.050  10.008  -13076713586907413769053903099223080960.000 
 13  14  27.840  10.008  -13107738765999445340804843433407545344.000 
 13  15  28.676  10.009  -13132826955041012888023427836167585792.000 
 13  16  29.562  10.009  -13150445251473054345843516197788712960.000 
 13  17  30.504  10.010  -13158722056348757965567893016668012544.000 
 13  18  31.507  10.010  -13155362703381381933379919459980935168.000 
 13  19  32.576  10.011  -13137515036381702247684762024982609920.000 
 13  20  33.718  10.012  -13101572072896864281637279139140468736.000 
 13  21  34.941  10.012  -13043009273644448117601902524652060672.000 
 13  22  36.254  10.013  -12956230885590028994169672266923638784.000 
 13  23  37.667  10.014  -12833986097364787610607545210516799488.000 
 13  24  39.192  10.015  -12667081011320690697779007251338493952.000 
 13  25  40.842  10.016  -12443693991980494235222367027207340032.000 
 13  26  42.634  10.018  -12148462773499602486584453385137684480.000 
 13  27  44.585  10.019  -11761281570460817161996181054567743488.000 
 13  28  46.720  10.021  -11255538581871574733719859362615263232.000 
 13  29  49.062  10.024  -10595833020854226665737291893737259008.000 
 13  30  51.645  10.026  -9734273197557415703780723570140774400.000 
 13  31  54.507  10.030  -8605429649578526161254014499380264960.000 
 13  32  57.691  10.033  -7118885770565192589558874886335627264.000 
 13  33  61.256  10.038  -5147388173061477669149265251593617408.000 
 13  34  65.272  10.044  -2508799835100878728013982390969958400.000 
 13  35  69.822  10.052  1059509535301642010303846691547119616.000 
 13  36  75.012  10.061  5945667373526634225391842317303808000.000 
 13  37  80.973  10.074  12731682006958807174616685393095950336.000 
 13  38  87.865  10.090  22306552784370797401212627035392835584.000 
 13  39  95.881  10.113  36045372663935748310056109461116813312.000 
 13  40  105.235  10.144  56078211037224982842242075894415884288.000 
 13  41  116.146  10.188  85700214077153915598458927682777251840.000 
 13  42  128.770  10.250  129833350824309702870390912809600811008.000 
 13  43  143.095  10.337  195309521616574664869126040951487201280.000 
 13  44  158.800  10.458  290404640393103822773755025335288594432.000 
 13  45  175.217  10.617  423163232342854959258113308552903786496.000 
 13  46  191.470  10.818  598958894943968452183195970885440765952.000 
 13  47  206.777  11.058  819443457473471754950728761946193002496.000 
 13  48  220.643  11.329  1082805652594544862964003479149476839424.000 
 13  49  232.883  11.625  1385813274750075267551161136569408028672.000 
 14  0  21.367  10.007  -16697093548735897576721960780397805568.000 
 14  1  21.885  10.007  -16772902141410139620318227053049544704.000 
 14  2  22.427  10.007  -16850051412322210664289302316561989632.000 
 14  3  22.997  10.008  -16928598591720928227569690001144807424.000 
 14  4  23.595  10.008  -17008405783935500967158464656728653824.000 
 14  5  24.226  10.008  -17089330762468031119754855765900263424.000 
 14  6  24.889  10.008  -17171153560762384166508569656834392064.000 
 14  7  25.589  10.009  -17253771523353742757545623527211663360.000 
 14  8  26.330  10.009  -17336697721167462322079072933497536512.000 
 14  9  27.113  10.009  -17419586356489414434920224370691407872.000 
 14  10  27.943  10.010  -17501936729244270536504708953995739136.000 
 14  11  28.825  10.010  -17583074385464222352041415895305682944.000 
 14  12  29.763  10.011  -17662134411766494403454997712158588928.000 
 14  13  30.762  10.011  -17737993664118231987525011096551292928.000 
 14  14  31.830  10.012  -17809169033847712037306923541805924352.000 
 14  15  32.974  10.013  -17873991238217370035332400435901235200.000 
 14  16  34.200  10.013  -17929940136884491393598115950945632256.000 
 14  17  35.520  10.014  -17974121024482173925424791032829050880.000 
 14  18  36.944  10.015  -18002462427924452034938465657651462144.000 
 14  19  38.485  10.016  -18009821441937200467310069187598090240.000 
 14  20  40.157  10.017  -17989391120802175524286113306474708992.000 
 14  21  41.978  10.019  -17932121701071917538058867631724691456.000 
 14  22  43.969  10.020  -17826045270630294199679400961051197440.000 
 14  23  46.154  10.022  -17654779915346324162938162250961125376.000 
 14  24  48.562  10.024  -17396213005850778475217192791702503424.000 
 14  25  51.230  10.027  -17019749242717662547687266412356698112.000 
 14  26  54.200  10.030  -16482641361392279718555489058175320064.000 
 14  27  57.527  10.033  -15724269986960713596320171836129148928.000 
 14  28  61.276  10.038  -14657355807609704995666250084820975616.000 
 14  29  65.533  10.043  -13153573874743573231623634504420163584.000 
 14  30  70.399  10.051  -11021731255644791352572501119312330752.000 
 14  31  76.008  10.060  -7969727773694752779040597761463418880.000 
 14  32  82.535  10.072  -3539426015626382434116779654974013440.000 
 14  33  90.200  10.089  3001211592946217326181524133895995392.000 
 14  34  99.277  10.112  12845003189349695193869110009386762240.000 
 14  35  110.112  10.145  27990072198545244013233309818099335168.000 
 14  36  123.089  10.193  51774488008437124163442537227429609472.000 
 14  37  138.557  10.264  89711339391266413128706308109552844800.000 
 14  38  156.625  10.371  150277152495288999857789475784935604224.000 
 14  39  176.867  10.527  244814675809583072726357094469241667584.000 
 14  40  198.141  10.744  385028607536370061119354571372785303552.000 
 14  41  218.905  11.025  578690676857076668895582351400544239616.000 
 14  42  237.884  11.363  827607029225329762589118687693825376256.000 
 14  43  254.443  11.747  1129004025328336671595258525190969098240.000 
 14  44  268.492  12.164  1478374982152758339834009229716818493440.000 
 14  45  280.240  12.606  1871537218610706054068416583718253101056.000 
 14  46  289.995  13.064  2305045532482362544419199810032493395968.000 
 14  47  298.069  13.535  2775790930746126815216416192369231134720.000 
 14  48  304.742  14.013  3281969265816550192457906630700545605632.000 
 14  49  310.249  14.496  3821428347813744292789198171052588400640.000 
 15  0  22.962  10.009  -22273280776859487552236480736427769856.000 
 15  1  23.579  10.010  -22385559920671114723402943363236757504.000 
 15  2  24.229  10.010  -22500775985741207582006420422095011840.000 
 15  3  24.915  10.010  -22619047519059978839879233800562016256.000 
 15  4  25.641  10.011  -22740446255570321760628636306376753152.000 
 15  5  26.409  10.011  -22864906848514456233609959589558616064.000 
 15  6  27.224  10.011  -22992304903530942660096818190414249984.000 
 15  7  28.091  10.012  -23122478099530820232886940049757700096.000 
 15  8  29.013  10.012  -23255224175607767246665428928819101696.000 
 15  9  29.997  10.013  -23390258773505929826601699893068169216.000 
 15  10  31.049  10.014  -23527107507186277824474817972385349632.000 
 15  11  32.176  10.014  -23664893320064530624086703525211406336.000 
 15  12  33.387  10.015  -23802935886402937444729870010514669568.000 
 15  13  34.692  10.016  -23939667925595076444338271183395880960.000 
 15  14  36.100  10.017  -24073416918022181627385821107727630336.000 
 15  15  37.626  10.018  -24201733362782228351506315613139107840.000 
 15  16  39.284  10.019  -24321255078642801112828465986999943168.000 
 15  17  41.093  10.020  -24427284776450932077887704142618558464.000 
 15  18  43.074  10.022  -24513622341423318362117081165824262144.000 
 15  19  45.253  10.023  -24571329023684353446900519733309734912.000 
 15  20  47.659  10.025  -24588181432951151927891997631625297920.000 
 15  21  50.331  10.028  -24546766128083200818630763563613945856.000 
 15  22  53.314  10.030  -24422192525917115429356995242077716480.000 
 15  23  56.666  10.034  -24178468238126854502262560469727313920.000 
 15  24  60.458  10.038  -23762534656118885750764312523354144768.000 
 15  25  64.779  10.043  -23094728762346197904205515887728394240.000 
 15  26  69.746  10.050  -22053223856560405667109274868558856192.000 
 15  27  75.509  10.058  -20446936275701966492905035298815082496.000 
 15  28  82.267  10.070  -17968516053338199458587884003247783936.000 
 15  29  90.278  10.085  -14109116754094486038308994400198328320.000 
 15  30  99.892  10.107  -8000118347230730792001314391800676352.000 
 15  31  111.561  10.138  1884241854622852890612156645398020096.000 
 15  32  125.854  10.185  18288800259411831229368633767686569984.000 
 15  33  143.404  10.257  46185585684997103070461997939037306880.000 
 15  34  164.662  10.371  94238898913346349504998244727557980160.000 
 15  35  189.381  10.550  175861388470004500643174951164739321856.000 
 15  36  216.054  10.814  307240789333146375352223263368857780224.000 
 15  37  242.195  11.173  500876650182942801193153692481374650368.000 
 15  38  265.656  11.618  760722344482788712422041828637106241536.000 
 15  39  285.474  12.129  1083859341850311239268827383615602032640.000 
 15  40  301.659  12.688  1465052305795459734204868996403312984064.000 
 15  41  314.664  13.280  1899351969887706394078989699322419871744.000 
 15  42  325.036  13.894  2382825563752361036786338696097855176704.000 
 15  43  333.272  14.524  2912323926740705293902871319121575804928.000 
 15  44  339.795  15.164  3485895215207701790631809273673075916800.000 
 15  45  344.937  15.811  4101510219498407851766083708874177642496.000 
 15  46  348.965  16.462  4757688655561890762802996088338789695488.000 
 15  47  352.085  17.115  5453029322446381120936940805956141318144.000 
 15  48  354.464  17.769  6186313161702250603713873563430263193600.000 
 15  49  356.241  18.423  6957392528208194254627078493953129971712.000 
 16  0  24.468  10.012  -29647604841133581119526500159990005760.000 
 16  1  25.186  10.013  -29807758506007333508191932174741536768.000 
 16  2  25.947  10.013  -29973247224840713389327404947096993792.000 
 16  3  26.754  10.014  -30144250214913166712259220176134733824.000 
 16  4  27.613  10.014  -30320954700722774764428320855195385856.000 
 16  5  28.529  10.015  -30503555069822850235546742378563895296.000 
 16  6  29.506  10.015  -30692203907572443152615921700265000960.000 
 16  7  30.551  10.016  -30886779557438831816555977579914330112.000 
 16  8  31.673  10.017  -31087615074840673164089475307392729088.000 
 16  9  32.878  10.017  -31294304243796618007935972614017646592.000 
 16  10  34.178  10.018  -31506810502757040224301334236453928960.000 
 16  11  35.583  10.019  -31724561551376396744448141298963054592.000 
 16  12  37.108  10.020  -31946684046634992835564579485200154624.000 
 16  13  38.768  10.022  -32171965463282790432227219147342217216.000 
 16  14  40.580  10.023  -32398506441674733139483043811888726016.000 
 16  15  42.568  10.024  -32623185143723852050423680995300474880.000 
 16  16  44.758  10.026  -32841854599871569387276871669471248384.000 
 16  17  47.182  10.028  -33048153644706501980458522224418095104.000 
 16  18  49.878  10.031  -33232617975223698093968692353205010432.000 
 16  19  52.899  10.033  -33381250035755618367207260061643571200.000 
 16  20  56.301  10.037  -33473028048449007518518577745757208576.000 
 16  21  60.161  10.041  -33475922937212431060774126296886149120.000 
 16  22  64.578  10.046  -33340610608399636924086569435150680064.000 
 16  23  69.680  10.052  -32989112423649845966502686580189167616.000 
 16  24  75.630  10.061  -32295574403726603185750798832146317312.000 
 16  25  82.652  10.072  -31051390258208490830752507454755438592.000 
 16  26  91.050  10.087  -28899242612332415925334900256809156608.000 
 16  27  101.232  10.107  -25206124577065786761484489620101005312.000 
 16  28  113.767  10.138  -18804685250600333690088742283932336128.000 
 16  29  129.414  10.185  -7468107586775051039997376652355043328.000 
 16  30  149.112  10.260  13165251435979318636717373844386480128.000 
 16  31  173.743  10.383  51528366168639585411166155533904248832.000 
 16  32  203.375  10.588  122460108481538630032535405374463803392.000 
 16  33  236.103  10.910  246410590022271716199618971038746935296.000 
 16  34  268.137  11.368  441081353868281600803635854873930498048.000 
 16  35  296.146  11.947  712889689811263096195341433752629805056.000 
 16  36  318.878  12.618  1058747177152926319243142176668892790784.000 
 16  37  336.629  13.352  1472630555122830052689665126873027313664.000 
 16  38  350.248  14.129  1949281610869756547281241742531000008704.000 
 16  39  360.604  14.935  2484494467946330808296027907246618836992.000 
 16  40  368.423  15.759  3075139379065078739164321740666190168064.000 
 16  41  374.275  16.597  3718879833014350840251440679249627840512.000 
 16  42  378.599  17.444  4413955502034501809290469692218074464256.000 
 16  43  381.720  18.296  5158483651862423342374410921069380632576.000 
 16  44  383.899  19.152  5951591853647937042549377462365962895360.000 
 16  45  385.320  20.008  6791308504489932905278863798655353094144.000 
 16  46  386.147  20.864  7677593039660438236513789062677117534208.000 
 16  47  386.490  21.719  8608583245317083452030096275615741116416.000 
 16  48  386.442  22.571  9583397009271760149272969900465919623168.000 
 16  49  386.078  23.419  10601057978479262948421979076578443788288.000 
 17  0  25.860  10.017  -39403684056043838615886801638684360704.000 
 17  1  26.679  10.017  -39626566420374038559311765916916645888.000 
 17  2  27.551  10.018  -39857775352602658811716938382872412160.000 
 17  3  28.481  10.018  -40097852629585685384661587683904061440.000 
 17  4  29.476  10.019  -40347353581720582474177311524377329664.000 
 17  5  30.541  10.020  -40606512530883309424579310920119877632.000 
 17  6  31.686  10.021  -40876131301801749100263208987503099904.000 
 17  7  32.918  10.021  -41156378133931037142664113133927268352.000 
 17  8  34.249  10.022  -41447926373313752894180450465803665408.000 
 17  9  35.691  10.023  -41751106524235656980187360657852596224.000 
 17  10  37.259  10.025  -42066180784078704748776948005181849600.000 
 17  11  38.968  10.026  -42393217725275036271127879469802455040.000 
 17  12  40.841  10.028  -42731669637477572548584596754946588672.000 
 17  13  42.900  10.029  -43081018622749901553505903942830129152.000 
 17  14  45.175  10.031  -43439602920441533011983801646994948096.000 
 17  15  47.702  10.033  -43804611315218906697124917835523424256.000 
 17  16  50.524  10.036  -44171104298476844490294780657468964864.000 
 17  17  53.695  10.039  -44531426434996676886506381895222165504.000 
 17  18  57.286  10.043  -44872844517110539767868880177739071488.000 
 17  19  61.381  10.047  -45174782585286658833146725439792742400.000 
 17  20  66.097  10.053  -45403766774346243599311509264137191424.000 
 17  21  71.578  10.060  -45504166390684459476908136223698059264.000 
 17  22  78.026  10.069  -45382074033665407333458981399597940736.000 
 17  23  85.709  10.081  -44874132465954353129207132358233292800.000 
 17  24  95.001  10.097  -43687226968566930335637424357716787200.000 
 17  25  106.428  10.121  -41274172613694352445977588926244716544.000 
 17  26  120.736  10.155  -36567536698276024697224771178827087872.000 
 17  27  138.972  10.210  -27386851999315953704643778148648878080.000 
 17  28  162.481  10.301  -9125889622228452909007350442387046400.000 
 17  29  192.583  10.458  27919498618001934740354965825866694656.000 
 17  30  229.218  10.731  102052866303269935846054252100391534592.000 
 17  31  268.995  11.173  238839343865845900646010781101717454848.000 
 17  32  306.079  11.803  458509875967201147224520245334947921920.000 
 17  33  336.499  12.588  765855781349924891558296185508825399296.000 
 17  34  359.687  13.481  1156085110792356874323171354139548450816.000 
 17  35  376.760  14.447  1622586815353391148181444986251637686272.000 
 17  36  389.118  15.459  2160132302923634113295103635611560443904.000 
 17  37  397.951  16.504  2764978837345116815327846586555293499392.000 
 17  38  404.155  17.570  3434034054578709868706521263779623206912.000 
 17  39  408.390  18.650  4164962349852162100402687092886113091584.000 
 17  40  411.144  19.740  4955941926357845364572677646797296893952.000 
 17  41  412.768  20.836  5805150031039161222573150288430158053376.000 
 17  42  413.525  21.934  6711007597795703741840946435516633448448.000 
 17  43  413.620  23.034  7672535387981334352183874784161569964032.000 
 17  44  413.204  24.134  8688571506299014297880428370207101157376.000 
 17  45  412.387  25.232  9757757776987976483948264610842682589184.000 
 17  46  411.254  26.326  10878588019939492684155054376586710089728.000 
 17  47  409.872  27.414  12049483830670893400634299463177183690752.000 
 17  48  408.313  28.499  13271362687696832950489718749056112525312.000 
 17  49  406.602  29.578  14541364419651602092364132024222339825664.000 
 18  0  27.123  10.022  -52315431182223640365496947309107216384.000 
 18  1  28.038  10.023  -52620202431072784090811078043783659520.000 
 18  2  29.016  10.023  -52937135547419177876425100866244050944.000 
 18  3  30.067  10.024  -53267461632192442268275312358506627072.000 
 18  4  31.193  10.025  -53611785762988169458317237788073787392.000 
 18  5  32.407  10.026  -53971402030865746434250675099592032256.000 
 18  6  33.719  10.027  -54346962722298249577281285937818501120.000 
 18  7  35.140  10.029  -54739757106896269534600124978817925120.000 
 18  8  36.684  10.030  -55150843188779170212359605532097511424.000 
 18  9  38.369  10.031  -55581392300456016490825575216462168064.000 
 18  10  40.214  10.033  -56032809773079494481287361063720845312.000 
 18  11  42.245  10.035  -56505767718406887553918556844234637312.000 
 18  12  44.488  10.037  -57001257586109874033661962008456593408.000 
 18  13  46.979  10.039  -57519529381291351557411462716025995264.000 
 18  14  49.764  10.042  -58060459902291858973443730253126041600.000 
 18  15  52.894  10.045  -58622056504965745038374345972106919936.000 
 18  16  56.437  10.049  -59200370234159854677391813709213466624.000 
 18  17  60.484  10.054  -59787283509031194192354646432814202880.000 
 18  18  65.142  10.059  -60367840583688999845652341123599826944.000 
 18  19  70.565  10.066  -60914872567289035159378212032652247040.000 
 18  20  76.947  10.075  -61379201958257843458209643870747099136.000 
 18  21  84.566  10.087  -61671190930199681165062125685873573888.000 
 18  22  93.799  10.102  -61622454384692184772537001232035741696.000 
 18  23  105.194  10.124  -60906851782131689548340377346543452160.000 
 18  24  119.539  10.156  -58864135049255011444095484499977043968.000 
 18  25  137.997  10.207  -54087717959942300784381267217712414720.000 
 18  26  162.211  10.290  -43422592606573264707875389224471494656.000 
 18  27  194.173  10.438  -19582237224936553068911861211196293120.000 
 18  28  235.010  10.709  33445893184917193100202584029865705472.000 
 18  29  281.865  11.186  143546086543993162428818453959391838208.000 
 18  30  326.845  11.915  339558659358212480242072032536451612672.000 
 18  31  363.326  12.867  633360230394084435370131440376184045568.000 
 18  32  390.049  13.973  1021618653026888294271674168461615955968.000 
 18  33  408.714  15.178  1497380263722042211448087272301357170688.000 
 18  34  421.421  16.448  2054732712716134351809945530258287493120.000 
 18  35  429.862  17.761  2689269826086619654689729488087781736448.000 
